Column0,Column1,Column2,Column3
30224.3,9147.27,451.751,67.8
30264.8,9127.21,452.062,67.9
30305.3,9107.05,452.375,68
30345.7,9086.8,452.689,68.1
30386.2,9066.45,453.005,68.2
30426.6,9046.02,453.322,68.3
30467,9025.49,453.641,68.4
30507.4,9004.87,453.961,68.5
30547.8,8984.16,454.283,68.6
30588.2,8963.35,454.607,68.7
30628.6,8942.46,454.931,68.8
30668.9,8921.47,455.258,68.9
30709.3,8900.38,455.585,69
30749.6,8879.21,455.915,69.1
30790,8857.95,456.245,69.2
30830.3,8836.59,456.578,69.3
30870.6,8815.14,456.911,69.4
30910.9,8793.59,457.246,69.5
30951.2,8771.96,457.583,69.6
30991.4,8750.23,457.921,69.7
31031.7,8728.42,458.26,69.8
31071.9,8706.51,458.601,69.9
31112.2,8684.5,458.944,70
31152.4,8662.41,459.287,70.1
31192.6,8640.22,459.632,70.2
31232.8,8617.95,459.979,70.3
31273,8595.58,460.327,70.4
31313.2,8573.12,460.676,70.5
31353.4,8550.56,461.027,70.6
31393.5,8527.92,461.379,70.7
31433.7,8505.18,461.733,70.8
31473.8,8482.35,462.088,70.9
31513.9,8459.43,462.444,71
31554,8436.42,462.801,71.1
31594.1,8413.32,463.16,71.2
31634.2,8390.13,463.521,71.3
31674.3,8366.84,463.882,71.4
31714.4,8343.46,464.246,71.5
31754.4,8319.99,464.61,71.6
31794.5,8296.43,464.976,71.7
31834.5,8272.78,465.343,71.8
31874.5,8249.04,465.711,71.9
31914.5,8225.21,466.081,72
31954.5,8201.28,466.452,72.1
31994.5,8177.27,466.824,72.2
32034.5,8153.16,467.198,72.3
32074.5,8128.96,467.572,72.4
32114.4,8104.67,467.949,72.5
32154.4,8080.29,468.326,72.6
32194.3,8055.82,468.705,72.7
32234.2,8031.25,469.085,72.8
32274.1,8006.6,469.466,72.9
32314,7981.85,469.849,73
32353.9,7957.02,470.232,73.1
32393.8,7932.09,470.618,73.2
32433.6,7907.07,471.004,73.3
32473.5,7881.96,471.391,73.4
32513.3,7856.76,471.78,73.5
32553.1,7831.47,472.17,73.6
32593,7806.09,472.561,73.7
32632.8,7780.62,472.954,73.8
32672.6,7755.06,473.348,73.9
32712.3,7729.4,473.742,74
32752.1,7703.66,474.139,74.1
32791.9,7677.82,474.536,74.2
32831.6,7651.9,474.934,74.3
32871.3,7625.88,475.334,74.4
32911.1,7599.78,475.735,74.5
32950.8,7573.58,476.137,74.6
32990.5,7547.29,476.54,74.7
33030.2,7520.92,476.945,74.8
33069.8,7494.45,477.35,74.9
33109.5,7467.89,477.757,75
33149.2,7441.24,478.165,75.1
33188.8,7414.5,478.574,75.2
33228.4,7387.67,478.984,75.3
33268.1,7360.75,479.395,75.4
33307.7,7333.74,479.807,75.5
33347.3,7306.64,480.221,75.6
33386.8,7279.45,480.636,75.7
33426.4,7252.17,481.051,75.8
33466,7224.8,481.468,75.9
33505.5,7197.34,481.886,76
33545.1,7169.79,482.305,76.1
33584.6,7142.16,482.726,76.2
33624.1,7114.43,483.147,76.3
33663.6,7086.61,483.569,76.4
33703.1,7058.7,483.993,76.5
33742.6,7030.7,484.417,76.6
33782,7002.61,484.843,76.7
33821.5,6974.43,485.269,76.8
33860.9,6946.16,485.697,76.9
33900.4,6917.8,486.126,77
33939.8,6889.35,486.556,77.1
33979.2,6860.82,486.987,77.2
34018.6,6832.19,487.418,77.3
34058,6803.47,487.851,77.4
34097.3,6774.67,488.285,77.5
34136.7,6745.77,488.72,77.6
34176,6716.79,489.156,77.7
34215.4,6687.71,489.593,77.8
34254.7,6658.55,490.031,77.9
34294,6629.3,490.47,78
34333.3,6599.95,490.91,78.1
34372.6,6570.52,491.351,78.2
34411.9,6541,491.793,78.3
34451.2,6511.39,492.236,78.4
34490.4,6481.69,492.68,78.5
34529.7,6451.9,493.125,78.6
34568.9,6422.02,493.571,78.7
34608.1,6392.06,494.018,78.8
34647.3,6362,494.466,78.9
34686.5,6331.86,494.915,79
34725.7,6301.62,495.365,79.1
34764.9,6271.3,495.815,79.2
34804,6240.89,496.267,79.3
34843.2,6210.39,496.719,79.4
